id,name,ja_anteil,minarett
1,Zürich,51.8,2
2,Bern,60.8,0
3,Luzern,61.2,0
4,Uri,63.8,0
5,Schwyz,66.3,0
6,Obwalden,62.4,0
7,Nidwalden,62.8,0
8,Glarus,68.8,0
9,Zug,56.7,0
10,Freiburg,55.9,0
11,Solothurn,64.0,0
12,Basel-Stadt,48.4,0
13,Basel-Landschaft,59.9,0
14,Schaffhausen,63.5,0
15,Appenzell Ausserrhoden,63.7,0
16,Appenzell Innerrhoden,71.4,0
17,St. Gallen,65.9,0
18,Graubünden,58.6,0
19,Aargau,64.0,0
20,Thurgau,67.7,0
21,Tessin,68.3,0
22,Waadt,46.9,0
23,Wallis,58.0,0
24,Neuenburg,49.3,0
25,Genf,40.3,1
26,Jura,51.2,0